Data-hora da leitura,Plataforma,ID do post,Artista,Views,Likes,Comentários
2026-08-18 14:00,Instagram,DaqfvUURcdc,Fidelisx,137955,7571,606
2026-08-18 14:00,Instagram,DaoIh0_EcUI,Fidelisx,,19670,353
2026-08-18 14:00,Instagram,DaoIh0_EcUI,Mine,,19669,353
2026-08-18 14:00,Instagram,DandzZbu9ct,Mine,117726,3980,212
2026-08-18 14:00,Instagram,DalmOVOFnw3,Argentino,,7813,309
2026-08-18 14:00,Instagram,Dak49_NxxKJ,Fidelisx,153002,10008,202
2026-08-18 14:00,Instagram,Dak49_NxxKJ,Mine,153005,10007,202
2026-08-18 14:00,Instagram,DagZFhZskm1,Argentino,69773,4425,303
2026-08-18 14:00,Instagram,DaeDvs3kbGG,Fidelisx,,4762,209
2026-08-18 14:00,Instagram,DaeDvs3kbGG,Argentino,,4762,209
2026-08-18 14:00,Instagram,DaWFT3KhRm8,Fidelisx,108507,4832,366
2026-08-18 14:00,Instagram,DaVpTcaxOGc,Fidelisx,143047,6099,457
2026-08-18 14:00,Instagram,DaOPZy7x_Ww,Fidelisx,128820,10146,362
2026-08-18 14:00,Instagram,DaODj7lmGc2,Fidelisx,,2419,63
2026-08-18 14:00,Instagram,DaODj7lmGc2,Argentino,,2419,63
2026-08-18 14:00,Instagram,DaJCcfXEaAd,Fidelisx,,10554,326
2026-08-18 14:00,Instagram,DaJCcfXEaAd,Argentino,,10554,326
2026-08-18 14:00,Instagram,DaGUuMJRcpL,Fidelisx,52475,4584,246
2026-08-18 14:00,Instagram,DZI3tGtFou1,Argentino,,13920,595
2026-08-18 14:00,Instagram,DYaxfdQJFy1,Fidelisx,95841,5232,453
2026-08-18 14:00,Instagram,DYSwhWdu3Wn,Kysha e Mine,,5101,878
2026-08-18 14:00,Instagram,DYSwhWdu3Wn,Mine,,5101,878
2026-08-18 14:00,Instagram,DYSwhWdu3Wn,Casa Saturno,,5101,878
2026-08-18 14:00,Instagram,DUDruj0DVTa,Kysha,,7835,924
2026-08-18 14:00,Instagram,DNEC1nmJENA,Casa Saturno,,3149,134
2026-08-18 19:56,YouTube,D_UwyI4vBls,Russin Oficial,1223,113,
2026-08-18 19:56,YouTube,8o_l3sREpeU,Evy Baddie,4201,677,
2026-08-18 19:56,YouTube,jv_Rn_EmYZM,Fidelisx,9138,1294,
2026-08-18 19:56,Instagram,DcL4deSPcOl,Kaka,10862,1162,130
2026-08-18 19:56,YouTube,DvBN7Cy7uRg,Casa Saturno,6891,875,
2026-08-18 19:56,Instagram,DcLs0WNivII,Casa Saturno,8279,510,23
2026-08-18 19:56,YouTube,Y1uE8TO8zPY,Casa Saturno,3040,563,
2026-08-18 19:56,YouTube,M6YdKfdLaFI,Casa Saturno,4392,631,
2026-08-18 19:56,Instagram,DcLmCMOFjyC,Casa Saturno,4703,465,14
2026-08-18 19:56,YouTube,0GVzwMr3icI,Kaka,3591,468,
2026-08-18 19:56,YouTube,r9x_b_0CA4A,Casa Saturno,3873,603,
2026-08-18 19:56,Instagram,DcLfUYmjsCM,Casa Saturno,7349,533,29
2026-08-18 19:56,YouTube,1b8CDw8gdkA,Kysha e Mine,9357,1751,
2026-08-18 19:56,YouTube,vAKMqHPk8cw,Russin Oficial,8024,235,
2026-08-18 19:56,Instagram,DcKAZgdpBk-,Russin Oficial,6586,315,20
2026-08-18 19:56,YouTube,OkgaDUy9ZME,Kysha e Mine,20670,1364,
2026-08-18 19:56,YouTube,xF9LdQAbJ3s,Evy Baddie,6664,802,
