Data do snapshot,Artista,Plataforma,Handle,Seguidores/Inscritos,Total de posts,Likes totais,Origem
2026-09-02,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-09-02,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-09-02,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-09-02,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-09-02,Kysha e Mine,TikTok,kyshaeminee,264600,487,1700000,medido
2026-09-02,Kysha,TikTok,oikysha,6500000,1531,131900000,medido
2026-09-02,Mine,TikTok,aminequerida_,2500000,1053,39400000,medido
2026-09-02,Evy Baddie,TikTok,evybaddiee,581200,1224,10500000,medido
2026-09-02,Fidelisx,TikTok,oifidelisx,532300,1366,16200000,medido
2026-09-02,Russin Oficial,TikTok,orussindomolejo,947200,1336,35900000,medido
2026-09-02,Argentino,TikTok,oiargentino_,344700,1070,6600000,medido
2026-09-02,Kaka,TikTok,oiikaka__,151100,604,1700000,medido
2026-09-02,Casa Saturno,TikTok,acasasaturno,268200,1262,4000000,medido
2026-09-02,Mine,Instagram,aminequerida,1418347,1162,,medido
2026-09-02,Fidelisx,Instagram,oifidelisx,665149,257,,medido
2026-09-02,Russin Oficial,Instagram,russinmolejo,567117,1280,,medido
2026-09-02,Argentino,Instagram,oiargentino,340148,104,,medido
2026-09-02,Kaka,Instagram,reservaoikaka,10730,40,,medido
2026-09-02,Evy Baddie,Instagram,evybaddiee,278795,743,,medido
2026-09-02,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-09-02,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-09-03,Kysha e Mine,Instagram,kyshaeminee,742261,1065,,medido
2026-09-03,Kysha,Instagram,oikysha,1360872,1806,,medido
2026-09-03,Casa Saturno,Instagram,acasasaturno,276242,1853,,medido
2026-09-03,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-09-03,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-09-03,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-09-03,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-09-03,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-09-03,Kysha e Mine,TikTok,kyshaeminee,264600,487,1700000,carry
2026-09-03,Kysha,TikTok,oikysha,6500000,1531,131900000,carry
2026-09-03,Mine,TikTok,aminequerida_,2500000,1053,39400000,carry
2026-09-03,Evy Baddie,TikTok,evybaddiee,581200,1224,10500000,carry
2026-09-03,Fidelisx,TikTok,oifidelisx,532300,1366,16200000,carry
2026-09-03,Russin Oficial,TikTok,orussindomolejo,947200,1336,35900000,carry
2026-09-03,Argentino,TikTok,oiargentino_,344700,1070,6600000,carry
2026-09-03,Kaka,TikTok,oiikaka__,151100,604,1700000,carry
2026-09-03,Casa Saturno,TikTok,acasasaturno,268200,1262,4000000,carry
2026-09-03,Mine,Instagram,aminequerida,1418248,1164,,medido
2026-09-03,Fidelisx,Instagram,oifidelisx,665092,257,,medido
2026-09-03,Russin Oficial,Instagram,russinmolejo,566913,1281,,medido
2026-09-03,Argentino,Instagram,oiargentino,340372,105,,medido
2026-09-03,Kaka,Instagram,reservaoikaka,10828,40,,medido
2026-09-03,Evy Baddie,Instagram,evybaddiee,278862,746,,medido
2026-09-03,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-09-03,Evy Baddie,YouTube,evybaddie,259000,,,seed
